id,num_following,num_follower,num_tweet,len_name,len_profile,is_polluter,age,reputation,ff_ratio,freq_tweet
6301,3269,3071,861,8,132,1,4487,0.484308469,1.064127604,0.706896552
10836,1949,793,226,9,134,1,4448,0.289099526,2.45465995,0.169924812
10997,1119,9644,38674,12,158,1,4446,0.895949461,0.116018663,30.38020424
633293,2174,6029,12718,11,121,1,4369,0.734885422,0.36053068,11.49909584
717883,7731,7029,873,6,70,1,4356,0.47618725,1.099715505,0.789330922
763068,120,130,686,6,35,1,4342,0.517928287,0.916030534,0.543581616
783705,1660,23977,23205,8,68,1,4332,0.935213355,0.069230128,19.54928391
788352,1320,969,3528,14,106,1,4330,0.423144105,1.360824742,3.382550336
810011,11239,10537,2749,13,59,1,4320,0.483859117,1.066521162,2.590951932
815299,3779,3920,1830,10,120,1,4318,0.509090909,0.963784749,1.608084359
817045,12848,12933,2315,5,63,1,4318,0.501629044,0.993350858,2.234555985
964981,1811,2469,2897,12,88,1,4313,0.576734408,0.733198381,2.782901057
1091571,3697,5129,7819,13,101,1,4311,0.581058117,0.720662768,7.606031128
1303381,2990,3367,2361,14,119,1,4308,0.529569047,0.887767221,2.301169591
1322691,13117,17053,893,9,22,1,4308,0.565211627,0.769145069,0.872070313
1467621,4942,7445,20577,9,134,1,4306,0.600984824,0.66371206,19.67208413
1599001,1591,1683,488,7,89,1,4304,0.51389313,0.944774347,0.457357076
1907361,4995,4570,3033,6,73,1,4302,0.47773364,1.092758696,2.79024839
2077351,1076,1370,1977,12,138,1,4301,0.559869228,0.784828592,1.910144928
2157321,10316,12272,1896,9,50,1,4299,0.543273275,0.840544284,1.823076923
2219081,2001,1534,3681,8,0,1,4299,0.433823529,1.303583062,3.43697479
2243161,8266,8134,1309,8,115,1,4299,0.495945369,1.016103258,1.287118977
2269491,745,829,1064,7,157,1,4298,0.526349206,0.897590361,1.033009709
2695911,3452,3467,1146,8,146,1,4296,0.501011561,0.99538639,1.067039106
2884771,62962,1234960,4068,8,138,1,4295,0.951489418,0.050982987,3.603188663
3060631,9214,8372,6667,8,43,1,4293,0.476033434,1.100441897,6.325426945
3076591,18059,17113,3551,11,114,1,4293,0.486537969,1.05521795,3.29406308
3136731,3449,6042,7403,13,149,1,4292,0.63653603,0.570743008,6.73
3291901,6071,5913,2072,8,105,1,4290,0.493366708,1.026547176,2.061691542
3881391,17100,16779,8002,6,139,1,4284,0.495247934,1.019070322,7.784046693
3908631,1998,1797,3523,10,155,1,4284,0.473393045,1.111234705,3.047577855
4000261,241,85,176,6,21,1,4283,0.259938838,2.802325581,0.16131989
4046051,9811,8951,2195,9,55,1,4283,0.477055908,1.095956211,2.019319227
4319321,565,215,471,10,28,1,4281,0.275288092,2.615740741,0.44059869
4567451,1715,620,5667,8,38,1,4280,0.265410959,2.761674718,5.203856749
5169871,1060,299,264,11,37,1,4275,0.219852941,3.533333333,0.259077527
5414782,7133,7060,1950,4,67,1,4271,0.497393265,1.010196856,1.938369781
5439702,13746,15414,4901,6,105,1,4270,0.528582696,0.891728836,4.814341847
5448632,786,341,71,8,116,1,4270,0.302304965,2.298245614,0.069539667
5609382,8172,7567,1670,6,130,1,4265,0.480749682,1.079809725,1.700610998
5693062,18933,17429,8103,8,121,1,4262,0.479305888,1.086230637,8.070717131
5732162,22318,22359,1151,14,99,1,4260,0.500447648,0.998121646,0.992241379
5751742,4851,4472,12101,7,37,1,4260,0.47962248,1.084507042,10.33390265
5775622,13782,13694,743,7,143,1,4259,0.498380464,1.006352683,0.7604913
5884032,5223,5118,57,9,14,1,4255,0.494875266,1.020316468,0.058823529
5925162,8054,8000,2983,7,157,1,4253,0.498287138,1.006624172,3.031504065
5925682,16967,15424,11152,9,36,1,4253,0.476166955,1.099967585,11.52066116
5971902,10937,11365,423,9,74,1,4252,0.509572703,0.962255851,0.419642857
6002602,16593,15082,1224,8,145,1,4251,0.47613335,1.10011271,1.203539823
6087712,14379,13072,5757,14,151,1,4247,0.476176599,1.099900558,5.965803109
6154322,2597,10097,7730,7,144,1,4244,0.795352501,0.25717964,8.026998962
6228472,423,63,20,10,0,1,4241,0.12936345,6.609375,0.0180018
6267832,191,174,63,8,51,1,4240,0.475409836,1.091428571,0.065284974
6332272,4302,5119,2870,11,133,1,4238,0.543302908,0.840234375,2.521968366
6333392,9018,9111,2769,11,15,1,4238,0.502537231,0.989683933,2.819755601
6356472,1869,1431,2176,11,115,1,4236,0.433504998,1.305167598,2.21814475
6774442,339,150,53,12,156,1,4220,0.306122449,2.245033113,0.054303279
6859412,3512,4492,1072,13,157,1,4216,0.561149282,0.781660361,1.087221095
6861662,3673,3567,1281,12,104,1,4216,0.492611518,1.029428251,1.326086957
6871812,9072,16454,4164,9,81,1,4215,0.644572414,0.551321787,3.671957672
6901952,949,82,6,6,0,1,4214,0.079457364,11.43373494,0.006147541
6902602,462,127,11,8,68,1,4214,0.215254237,3.609375,0.011506276
6982452,2206,2005,1806,12,0,1,4212,0.476020893,1.099700897,1.700564972
7024522,1659,738,44,5,48,1,4210,0.307756464,2.244925575,0.04569055
7082702,20300,20006,1640,12,147,1,4207,0.496340586,1.014644874,1.584541063
7087112,14368,23308,55415,13,155,1,4206,0.618626748,0.616414261,57.84446764
7103212,858,811,589,8,54,1,4205,0.485628743,1.056650246,0.549440299
7159492,1400,1147,3865,6,19,1,4203,0.450156986,1.219512195,4.0093361
7251502,7207,8420,2672,9,111,1,4198,0.538776555,0.855836599,2.848614072
7283562,20390,20677,755,13,156,1,4196,0.50348203,0.986072154,0.823336968
7350652,99778,97754,7574,6,115,1,4193,0.494874274,1.020694594,6.891719745
7361162,392,102,81,13,85,1,4193,0.206060606,3.805825243,0.088139282
7400262,3051,3534,818,13,155,1,4191,0.536592773,0.863083451,0.902869757
7540482,12313,12244,16421,8,16,1,4185,0.498574803,1.005553287,16.96384298
7545332,3374,3164,2001,8,58,1,4185,0.483866035,1.066034755,1.913001912
7601182,1053,491,456,7,50,1,4183,0.317799353,2.140243902,0.499452355
7721172,2245,2246,4121,11,160,1,4177,0.5,0.999109924,4.266045549
7831092,17866,16330,918,8,92,1,4172,0.477527268,1.093993019,0.976595745
7891352,11325,11076,3299,12,153,1,4170,0.494420141,1.022388733,3.641280353
7891802,903,908,91,8,135,1,4170,0.501103753,0.99339934,0.096705632
7934702,876,511,2122,15,156,1,4168,0.36815562,1.7109375,2.03451582
7946942,1830,1623,1228,5,14,1,4168,0.469889983,1.126847291,1.289915966
7950312,4447,4048,1177,15,38,1,4167,0.47645951,1.098295876,1.149414063
7957772,33928,31295,22928,7,47,1,4167,0.479808046,1.084100204,25.50389321
7967132,1879,1768,1470,10,66,1,4166,0.484649123,1.062182024,1.662895928
7977182,7704,7027,1790,8,123,1,4166,0.476988868,1.096186682,1.882229232
8014432,688,551,484,8,43,1,4164,0.444354839,1.246376812,0.52780807
8014472,1837,1829,625,7,62,1,4164,0.498772839,1.003825137,0.664187035
8066562,660,7210,2524,11,36,1,4163,0.916020836,0.091526834,2.615544041
8180582,1944,744,224,10,40,1,4157,0.276682782,2.609395973,0.250839866
8205942,1065,791,886,15,139,1,4156,0.425955843,1.34469697,0.886886887
8208482,705,206,121,7,31,1,4156,0.225877193,3.405797101,0.117361785
8245052,1777,901,1152,15,139,1,4154,0.336319522,1.970066519,1.288590604
8293982,1444,1092,1806,8,92,1,4152,0.430429641,1.321134492,1.673772011
8377772,10293,9794,1906,15,98,1,4148,0.487554759,1.050842266,2.208574739
8431212,2001,889,91,10,58,1,4146,0.307506053,2.248314607,0.1
8440552,5986,7160,376,11,36,1,4145,0.544610938,0.835916771,0.437718277
8571252,3644,3312,3330,12,115,1,4140,0.47606727,1.099909448,3.35347432
8614702,1772,819,95,9,61,1,4138,0.315972222,2.16097561,0.109321059
8729092,3549,3225,1688,10,75,1,4133,0.47601476,1.100123993,1.942462601
8773632,16613,17094,1427,6,15,1,4131,0.507119972,0.971804621,1.399019608
8833312,10691,13605,5243,13,145,1,4128,0.559945672,0.785756284,5.542283298
8865022,1917,1052,1106,14,18,1,4127,0.354208754,1.820512821,1.280092593
8894582,805,705,752,11,73,1,4125,0.466578425,1.140226629,0.858447489
9028902,146,64,6,15,20,1,4118,0.303317536,2.246153846,0.005819593
9045162,6757,6784,4213,7,128,1,4117,0.500959976,0.99587325,5.033452808
9082652,21041,23332,2602,12,61,1,4116,0.525803398,0.901770025,3.043274854
9126092,1749,1006,16381,8,156,1,4113,0.365021771,1.736842105,17.61397849
9222382,1896,1159,99,7,109,1,4107,0.379253927,1.634482759,0.10164271
9237672,589,422,966,7,29,1,4107,0.416996047,1.392434988,1.087837838
9256422,20255,19726,4439,11,151,1,4106,0.493372017,1.026765347,4.788565264
9283632,10270,9517,11857,13,71,1,4104,0.480948049,1.079008195,13.39774011
9285422,875,740,1382,12,71,1,4104,0.457920792,1.180836707,1.457805907
9337172,5835,5420,9,6,38,1,4101,0.481520967,1.076369673,0.009615385
9337212,2547,2694,3,14,14,1,4101,0.513925982,0.945083488,0.003605769
9376622,9762,8874,5213,7,149,1,4099,0.476149595,1.099943662,6.061627907
9502542,8189,7444,26752,7,158,1,4093,0.476141742,1.099932841,31.7719715
9520902,2852,2794,3111,13,27,1,4092,0.494775987,1.02039356,3.584101382
9545532,3529,3312,7749,11,79,1,4091,0.484068986,1.065197706,9.578491965
9571962,1999,945,52,9,60,1,4090,0.320882852,2.113107822,0.059838895
9578362,325,504,270,14,149,1,4089,0.607228916,0.643564356,0.301003344
9596392,1805,1732,1080,9,48,1,4088,0.489542114,1.041546451,1.302774427
9633112,1121,561,284,6,64,1,4087,0.333333333,1.994661922,0.342581423
9666402,897,761,1204,8,15,1,4086,0.458710066,1.177165354,1.271383316
9751642,11631,11326,2729,6,129,1,4082,0.493335656,1.026838527,3.315917375
9767082,1963,1941,941,9,34,1,4082,0.497055058,1.010813594,0.961184883
9783422,854,868,813,11,35,1,4081,0.50377249,0.98273878,0.977163462
9814222,2414,2887,709,6,78,1,4080,0.544511505,0.835872576,0.89407314
9819072,22121,24910,1154,6,39,1,4079,0.529639394,0.888001285,1.440699126
9836582,68782,69108,64812,14,65,1,4079,0.501178467,0.995268344,78.37001209
9922242,2072,4283,3490,8,83,1,4076,0.673851479,0.483660131,4.36795995
9934462,1389,2594,5225,7,55,1,4075,0.651104418,0.535260116,5.251256281
10046572,3800,3604,17084,7,51,1,4072,0.486698177,1.05409154,20.80876979
10105822,5352,4938,4015,13,108,1,4070,0.479836751,1.083620166,4.944581281
10193122,13002,12073,3791,9,106,1,4067,0.481456373,1.076859367,4.465253239
10197782,5644,6444,15559,5,152,1,4067,0.533046571,0.875717611,19.74492386
10278192,797,387,50,14,0,1,4064,0.326582278,2.054123711,0.058207218
10336042,22456,20471,22263,11,156,1,4062,0.476868245,1.096912857,24.95852018
10433782,1326,3185,26308,8,107,1,4059,0.70589539,0.416195857,29.10176991
10492902,4748,4589,3890,9,147,1,4056,0.491432855,1.034422658,4.911616162
10500072,12335,11226,9192,12,159,1,4056,0.476445124,1.098690656,10.99521531
10667662,53675,58173,2311,7,86,1,4052,0.520102996,0.922663045,2.970437018
10697222,2292,5081,3265,12,157,1,4051,0.689042582,0.451003542,3.525917927
10736862,7282,6620,1025,10,64,1,4049,0.476156225,1.099833862,1.104525862
10746692,986,407,49,15,0,1,4049,0.291965567,2.416666667,0.064052288
10778972,1716,688,7489,8,58,1,4048,0.286070686,2.490566038,8.238723872
10779802,19802,19928,16219,6,146,1,4048,0.501573079,0.993627377,19.68325243
10793242,5453,5992,1406,8,24,1,4047,0.52350166,0.909894877,1.786531131
10845372,3650,3328,4641,8,159,1,4045,0.476859149,1.096425353,5.645985401
10870512,3426,3116,7,6,117,1,4044,0.476234143,1.099133782,0.009234828
10987282,12453,11320,19489,5,27,1,4041,0.476150416,1.099991167,22.71445221
11009092,1926,1414,3100,8,158,1,4040,0.423226579,1.361130742,3.939008895
11015372,504,222,1592,14,139,1,4039,0.305364512,2.260089686,1.691817216
11041822,15899,15673,2122,12,62,1,4038,0.496405156,1.014354983,2.821808511
11073902,5661,8850,3280,8,135,1,4038,0.609840132,0.639588747,3.886255924
11228722,1894,1302,87,6,0,1,4033,0.407256803,1.453568688,0.111681643
11294262,3105,2852,190,7,6,1,4031,0.478684122,1.088328076,0.233415233
11305742,4529,4674,2320,15,59,1,4031,0.507822686,0.968770053,3.081009296
11341332,20436,20866,603,11,61,1,4030,0.505193327,0.979345378,0.792378449
11403052,16,7,4,6,0,1,4028,0.291666667,2,0.004484305
11403462,12486,12952,823,8,93,1,4028,0.50913951,0.963946576,1.041772152
11410012,12294,11957,20704,9,134,1,4028,0.493031503,1.028098344,24.61831153
11410412,1258,1035,201,14,160,1,4028,0.451176983,1.214285714,0.246323529
11422132,2394,8493,3082,12,16,1,4028,0.780033064,0.281846009,3.592074592
11488822,167,92,130,9,58,1,4025,0.353846154,1.795698925,0.136554622
11525652,1985,258,88,8,160,1,4023,0.114973262,7.664092664,0.107711138
11547732,1765,629,24,13,153,1,4023,0.26263048,2.801587302,0.030967742
11605832,4020,4373,2415,15,103,1,4021,0.520967358,0.919067215,2.854609929
11637322,4283,10615,85,12,39,1,4020,0.712463924,0.403447626,0.107458913
11662532,17778,17682,8583,7,64,1,4019,0.4986323,1.005372392,10.54422604
11721472,1973,1188,572,15,66,1,4017,0.375711575,1.659377628,0.751642576
11749762,666,618,1297,12,148,1,4016,0.480933852,1.075928918,1.643852978
11756702,14099,12844,32,8,71,1,4016,0.476692399,1.097625535,0.03760282
11778632,2523,2293,19590,13,159,1,4016,0.476022421,1.099825632,25.44155844
11786162,1614,715,801,7,0,1,4016,0.306866953,2.254189944,1.011363636
11862162,1328,509,1249,8,32,1,4014,0.276931447,2.603921569,1.344456405
11879272,34252,39345,2267,9,160,1,4013,0.534593331,0.870533218,3.0066313
11908322,668,708,1196,7,0,1,4012,0.51416122,0.942172073,1.607526882
11920772,693,2553,17525,8,126,1,4012,0.786264244,0.271339076,19.45061043
11929882,195,56,164,7,86,1,4012,0.222222222,3.421052632,0.193624557
11996952,712,5828,97,11,26,1,4010,0.890995261,0.122147881,0.13002681
12022042,1700,2011,5040,12,37,1,4009,0.541756466,0.844930417,6.829268293
12031352,2001,917,260,10,105,1,4009,0.314148681,2.179738562,0.332480818
12037882,18786,17558,14260,8,147,1,4009,0.483092585,1.069878695,18.47150259
